"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @pxrmxrr: You can’t be snapping Ryanair planes and be saying catch flights not feelings cos your probs catching delays nd L’s",FALSE,0,NA,2019-03-29 12:38:30,FALSE,NA,"1111608569391132674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_rxssr_",2,TRUE,FALSE,NA,NA
"@WattoSue @Ryanair No I mean why did he fly ryanair if he has so much money",FALSE,0,"WattoSue",2019-03-29 12:38:20,FALSE,"1111602228958281729","1111608529352355841","834723396999118848","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IntlAir",0,FALSE,FALSE,NA,NA
"@CCPCIreland Will do so and thanks for getting back to me. Hopefully @Ryanair will get in touch too.",FALSE,0,"CCPCIreland",2019-03-29 12:36:44,FALSE,"1111584739301957632","1111608124979466241","41091295","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoanaCFS",0,FALSE,FALSE,NA,NA
"@angelrobinsonsa We're very sorry for the inconvenience, please follow this link to leave a claim/complaint: https://t.co/uBey6h6Srp. JC",FALSE,0,"angelrobinsonsa",2019-03-29 12:35:50,FALSE,"1111607669016748032","1111607899820834817","935595411171102720","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","Ryanair",0,FALSE,FALSE,NA,NA
"@Ryanair I want to know why people who have booked special assistance have to go all the way through the back of th… https://t.co/XSJtygB4q0",FALSE,0,"Ryanair",2019-03-29 12:34:55,TRUE,NA,"1111607669016748032","1542862735","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelrobinsonsa",0,FALSE,FALSE,NA,NA
"Few things in life as stressful as booking a flight with @Ryanair <ed><U+00A0><U+00BD><ed><U+00B8><U+0096>",FALSE,0,NA,2019-03-29 12:34:46,FALSE,NA,"1111607630680739841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Derbys_Girl",0,FALSE,FALSE,NA,NA
"@RossKettlewell7 @myracingtips <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> he will win the Ryanair next year <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>",FALSE,1,"RossKettlewell7",2019-03-29 12:31:55,FALSE,"1111606243968327680","1111606912402026497","519926901","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","James_Watson98",0,FALSE,FALSE,NA,NA
"RT @mancavgeek: Photo of the Day 2019-03-29.
EI-CKS, Boeing 737-2T5, Ryanair, landing on Runway 24 at Manchester Airport, some time after J…",FALSE,0,NA,2019-03-29 12:31:49,FALSE,NA,"1111606887965970432",NA,"<a href=""http://www.planespottingiscool.com"" rel=""nofollow"">PlaneSpotterRetweet</a>","PlaneSpotIsCool",1,TRUE,FALSE,NA,NA
"@Ryanair May is a month away . So well within the 6 months. last year the flights were available in the December.",FALSE,0,"Ryanair",2019-03-29 12:30:57,FALSE,"1111581095869497344","1111606668377374723","1542862735","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RosiesRetroAyr",0,FALSE,FALSE,NA,NA
"@Jeannedep HI, yes, here are all details: https://t.co/iYp4ZnmyJ7. JC",FALSE,0,"Jeannedep",2019-03-29 12:29:31,FALSE,"1111605811661492225","1111606310599036928","265918567","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","Ryanair",0,FALSE,FALSE,NA,NA
