-,Company Name,Listing ID,Exchange,Primary ISIC code,Country,Street,City,Region (if applicable),Zip Code,Phone,Website,IR Website,,latest year,2018,2017,2016,2015,2014,2013,,"latest 
value","latest 
year",YOY,2018,2017,2016,2015,2014,2013,,"latest 
value","latest 
year",YOY,2018,2017,2016,2015,2014,2013,,Currency Code,Currency Name,2018,2017,2016,2015,2014,2013
1,American Airlines,AAL,NASDAQ,5110,United States,4333 Amon Carter Blvd,Fort Worth,Texas,76155,18179631234,https://www.aa.com/homePage.do,http://phx.corporate-ir.net/phoenix.zhtml?c=117098&p=irol-IRHome,,12/31/2017,,43100,42735,42369,42004,41639,,"126,600",2017,3.52%,,"126,600","122,300","118,500","113,300","110,400",,"42,207",2017,5.00%,,"42,207","40,180","40,990","42,650","26,743",,USD,US Dollar,,"42,207","40,180","40,990","42,650","26,743"
2,Delta Air Lines  ,DAL,New York,5110,United States,1030 Delta Blvd,Atlanta,Georgia,30320,14047152600,http://www.delta.com/,http://ir.delta.com/,,12/31/2017,,43100,42735,42369,42004,41639,,"86,564",2017,3.35%,,"86,564","83,756","82,949","79,655","77,755",,"41,244",2017,4.00%,,"41,244","39,639","40,704","40,362","37,773",,USD,US Dollar,,"41,244","39,639","40,704","40,362","37,773"
3,Lufthansa,LHA,Frankfurt,5110,Germany,Von-Gablenz-Strasse 2-6,Cologne,,50679,4.97E+11,http://www.lufthansa.com/,http://investor-relations.lufthansagroup.com/,,12/31/2017,,43100,42735,42369,42004,41639,,"129,424",2017,4.12%,,"129,424","124,306","120,652","118,781","118,214",,"40,090",2017,14.40%,,"40,090","35,035","35,562","39,816","39,867",,EUR,Euro,,"35,579","31,660","32,056","30,011","30,027"
4,United Continental Holdings,UAL,New York,5110,United States,233 South Wacker Drive,Chicago,Illinois,60606,8728254000,http://newsroom.united.com/index.php,http://ir.united.com/phoenix.zhtml?c=83680&p=irol-IRHome,,12/31/2017,,43100,42735,42369,42004,41639,,"89,800",2017,2.05%,,"89,800","88,000","8,400","84,000","87,000",,"37,736",2017,3.20%,,"37,736","36,556","37,864","38,901","38,279",,USD,US Dollar,,"37,736","36,556","37,864","38,901","38,279"
6,Jet Airways  ,532617,Mumbai,5110,India,"Siroya Centre, Sahar Airport Road, Andheri (East)",Mumbai,,400099,9.12E+11,http://www.jetairways.com/EN/IN/Home.aspx,http://www.jetairways.com/EN/IN/InvestorInformation/financials.aspx,,3/31/2017,,42825,42460,42094,41729,41364,,"16,015",2017,7.45%,,"16,015","14,905","13,527","13,256","12,082",,"35,314",2017,0.90%,,"35,314","35,012","3,203","2,865","3,101",,INR,Indian Rupee,,"2,366,991","2,290,606","195,734","173,019","168,526"
7,Air France,AF,Paris,5110,France,"45 Rue De Paris, Roissy CDG Cedex",Paris,,95747,33141567800,http://www.airfrance.com/indexCom_en.html,http://www.airfranceklm.com/en/finance/financial-information,,12/31/2016,,,42735,42369,42004,41639,,"84,602",2016,-12.25%,,,"84,602","96,417","94,666","96,417",,"27,495",2016,-4.90%,,,"27,495","28,913","33,051","33,883",,EUR,Euro,,,"24,846","26,062","24,912","25,520"
10,IAG International Airlines Group,IAG,Madrid,5110,United Kingdom,PO Box 365,Harmondsworth,,UB7 0GB,4.42E+11,http://www.es.iairgroup.com/,http://www.iairgroup.com/phoenix.zhtml?c=240949&p=irol-irhome,,12/31/2017,,43100,42735,42369,42004,41639,,"63,994",2017,0.96%,,"63,994","63,387","60,862","59,484","60,089",,"25,884",2017,3.60%,,"25,884","24,973","25,358","26,760","24,654",,EUR,Euro,,"22,972","22,567","22,858","20,170","18,569"
11,International Consolidated Airlines Group SA,IAG,London,5110,United Kingdom,PO Box 365,Harmondsworth,,UB7 0GB,4.42E+11,http://www.iairgroup.com/phoenix.zhtml?c=240949&p=index,http://www.iairgroup.com/phoenix.zhtml?c=240949&p=irol-irhome,,12/31/2017,,43100,42735,42369,42004,41639,,"63,994",2017,0.96%,,"63,994","63,387","60,862","59,484","60,089",,"25,884",2017,3.60%,,"25,884","24,973","25,358","26,760","24,654",,EUR,Euro,,"22,972","22,567","22,858","20,170","18,569"
12,Emirates,,,5110,United Arab Emirates,"Emirates Group Building, Airport, Opposite Terminal 3",Dubai,,,97147081111,http://www.theemiratesgroup.com/english/,,,3/31/2017,,42825,42460,42094,41729,41364,,"64,768",2017,5.82%,,"64,768","61,205","56,725","52,516",,,"22,801",2017,0.30%,,"22,801","22,739","23,618","21,981","19,379",,AED,UAE Dirham,,"83,739","83,500","86,728","80,717","71,159"
13,Southwest Airlines,LUV,New York,5110,United States,2702 Love Field Drive,Dallas,Texas,75235,12147924000,https://www.southwest.com/?clk=GNAVHOMELOGO,http://investors.southwest.com/?clk=GFOOTER-ABOUT-INVESTOR,,12/31/2017,,43100,42735,42369,42004,41639,,"56,100",2017,4.86%,,"56,100","53,500","49,600","46,278","44,831",,"21,171",2017,3.70%,,"21,171","20,425","19,820","18,605","17,699",,USD,US Dollar,,"21,171","20,425","19,820","18,605","17,699"
14,China Southern Airlines,600029,Shanghai,5110,China,278 Ji Chang Road,Guangzhou,,510406,8.62E+11,http://www.csair.com/en/index.shtml,http://www.csair.com/en/about/touzizheguanxiz/,,12/31/2017,,43100,42735,42369,42004,41639,,"93,132",2016,6.80%,,,"93,132","87,202","82,132","80,175",,"18,909",2017,9.10%,,"18,909","17,334","17,798","17,653","16,042",,CNY,Yuan Renminbi,,"127,806","114,981","111,652","108,584","98,547"
